text,polarity,subjectivity,created_at
RT @NursepollyRgn: She pleaded for an abortion to save her life  her baby was dying  there was no hope for it  yet heartbeat. She was told…,0.0,0.0,Mon May 07 14:50:13 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:50:21 +0000 2018)
Stop 👏🏻 excluding 👏🏻 trans 👏🏻 people 👏🏻 from 👏🏻 your 👏🏻 discussion 👏🏻about 👏🏻 the 👏🏻8th 👏🏻 amendment 👏🏻
Just becaus… https://t.co/fGHY7egFRP,0.0,0.0,Mon May 07 14:50:25 +0000 2018)
RT @EmmaMurphy12150: Look at the lads...

😉

#8thref #Savethe8th #Repealthe8th #Together4Yes #LoveBothVoteNo

https://t.co/zoSEIBHVyM,0.0,0.0,Mon May 07 14:50:28 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:50:42 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:50:53 +0000 2018)
RT @senatornoone: Outside Holles St Hospital yesterday - shocking that women who are miscarrying or in other very challenging pregnancies a…,-0.11875,0.60625,Mon May 07 14:50:53 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:51:06 +0000 2018)
RT @JoeHigginsSP: 5pm tomorrow is a deadline  not a target. Don't be the one on the 26th regretting not voting.

Get form stamped today and…,0.0,0.0,Mon May 07 14:51:22 +0000 2018)
RT @RuthCoppingerTD: At 5pm tomorrow (Tues) there will be no more voter registration for #8thref. If not registered you need to visit Garda…,-0.25,0.5,Mon May 07 14:51:22 +0000 2018)
Everyone needs to make sure to be registered to vote tomorrow. #repealthe8th #together4yes,0.5,0.888888888889,Mon May 07 14:51:27 +0000 2018)
RT @officialadpro: Good night fellas!
 #antibullying #AtletBerkudaIndonesia #Eurovision #GOT7 #homeMade #MotoGP #MondayMotivation #onpoli #…,0.875,0.6,Mon May 07 14:51:29 +0000 2018)
RT @newsworthy_ie: Fatima Gunning continues to feature in anti-choice videos.

We've seen the poster and we did wonder what you were playin…,0.0,0.0,Mon May 07 14:52:00 +0000 2018)
RT @colettebrowne: Friend went to a Garda station yesterday to get on the supplemental register. Garda told her that “she had never seen an…,0.0,0.0,Mon May 07 14:52:06 +0000 2018)
RT @TarynDeVere: This is outrageous. Call Pearse St Gardai to register a complaint. https://t.co/ugPy244P5L,-0.65,0.6,Mon May 07 14:52:12 +0000 2018)
RT @RuthCoppingerTD: At 5pm tomorrow (Tues) there will be no more voter registration for #8thref. If not registered you need to visit Garda…,-0.25,0.5,Mon May 07 14:52:14 +0000 2018)
RT @cafrunconnolly: apologies to all the men out there crying because us women want to take control over what happens in OUR OWN BODIES. Yo…,0.2,0.8,Mon May 07 14:52:15 +0000 2018)
RT @LoveLifeLove8th: #repealthe8th : “He aborts them so far along they come out crying and looking for their mama.” https://t.co/uhQfjkqH2u,-0.05,0.8,Mon May 07 14:52:18 +0000 2018)
Please take note folks at home who have the stamina. Sure you could even let on to be voting no and have a right DM… https://t.co/3qrxyjyd9J,0.392857142857,0.712301587302,Mon May 07 14:52:26 +0000 2018)
RT @Colmogorman: We need your help to counter the massive &amp; misleading onslaught of anti-repeal ads on social media. Help us reach 1 000 00…,0.0166666666667,0.533333333333,Mon May 07 14:52:44 +0000 2018)
Went by people at Trinity campaigning for NO vote. Congratulations you absolute scumbags. Your 20ft pics are the mo… https://t.co/QnRMP43cek,0.2,0.9,Mon May 07 14:52:54 +0000 2018)
RT @NursepollyRgn: I can’t help but think of the girls &amp; women who had their children taken from them weeks  months  years after they were…,0.0,0.0,Mon May 07 14:53:02 +0000 2018)
RT @ChiuauaTeardrop: Yusss! For Repeal this Friday in @TGSDublin. Line up is ridiculously good (see image) &amp; all proceeds go to Together Fo…,0.7,0.6,Mon May 07 14:53:07 +0000 2018)
@thejournal_ie And every single one  is one too many! #8thref #Repealthe8th #WomensRights #WomensHealth #femaleautonomy,0.276785714286,0.357142857143,Mon May 07 14:53:31 +0000 2018)
One of the most intelligent things I've heard! https://t.co/Tyw5HfZOlQ,0.75,0.7,Mon May 07 14:53:36 +0000 2018)
This has to be exactly what section 7 of the public order act is intended for?

Seriouslly @GardaTraffic @gardainfo… https://t.co/sGOYwur2Jk,0.125,0.158333333333,Mon May 07 14:53:54 +0000 2018)
RT @colettebrowne: Friend went to a Garda station yesterday to get on the supplemental register. Garda told her that “she had never seen an…,0.0,0.0,Mon May 07 14:53:59 +0000 2018)
RT @TarynDeVere: This is outrageous. Call Pearse St Gardai to register a complaint. https://t.co/ugPy244P5L,-0.65,0.6,Mon May 07 14:54:02 +0000 2018)
RT @RuthCoppingerTD: At 5pm tomorrow (Tues) there will be no more voter registration for #8thref. If not registered you need to visit Garda…,-0.25,0.5,Mon May 07 14:54:02 +0000 2018)
RT @RuthCoppingerTD: At 5pm tomorrow (Tues) there will be no more voter registration for #8thref. If not registered you need to visit Garda…,-0.25,0.5,Mon May 07 14:54:08 +0000 2018)
RT @Midwives4Choice: #IDM18 #ConsentMatters #VoteYes On this Int Day of the Midwife  we're sharing women's testimony of their experience of…,0.0,0.0,Mon May 07 14:54:45 +0000 2018)
RT @LoveLifeLove8th: Bacik #repealthe8th #together4yes lies exposed https://t.co/uCXNFw4xBu https://t.co/XtGwZzllQT,0.0,0.0,Mon May 07 14:54:50 +0000 2018)
RT @IntlWomen: "In 1983 the Irish people voted to give a fertilized egg the same right to life as the woman who carries it. Feminists tried…,0.0952380952381,0.220238095238,Mon May 07 14:54:57 +0000 2018)
happy monday x #RepealThe8th #Together4Yes https://t.co/kwdKF6wT0V,0.8,1.0,Mon May 07 14:55:05 +0000 2018)
RT @TaraFlynn: 5pm tomorrow. GET REGISTERED. Grab an ice-cream or something while you're in town. https://t.co/4NezYM6J4d,0.0,0.0,Mon May 07 14:55:07 +0000 2018)
RT @Qaoileann: You don't have to be 100% comfortable with abortion to vote Yes. You just have to be more uncomfortable with the status quo.…,0.133333333333,0.766666666667,Mon May 07 14:55:07 +0000 2018)
RT @DLTogether4Yes: The days are just getting busier and busier!! Can you help us at any of our events this week?

Any newbies: turn up to…,0.0,0.0,Mon May 07 14:55:13 +0000 2018)
RT @RuthCoppingerTD: At 5pm tomorrow (Tues) there will be no more voter registration for #8thref. If not registered you need to visit Garda…,-0.25,0.5,Mon May 07 14:55:27 +0000 2018)
RT @officialadpro: Good night fellas!
 #antibullying #AtletBerkudaIndonesia #Eurovision #GOT7 #homeMade #MotoGP #MondayMotivation #onpoli #…,0.875,0.6,Mon May 07 14:55:28 +0000 2018)
RT @TaraFlynn: Lads  there's no room for worrying #repealthe8th won't pass. That's a thought we can't afford. Be hopeful  work hard  don't…,-0.291666666667,0.541666666667,Mon May 07 14:55:31 +0000 2018)
RT @Colmogorman: “To respect a woman’s right to decide  I’m backing ‘Yes’”. There’s Liam Neeson in today’s Sunday Independent backing @Amne…,0.142857142857,0.330357142857,Mon May 07 14:55:42 +0000 2018)
RT @Gerry_Cleary: I've absolutely no right to tell any woman what she can or cannot do to her own body. Thankfully I do have the right to v…,0.247619047619,0.690476190476,Mon May 07 14:55:57 +0000 2018)
RT @BarrickBoys: The Catholic church lecturing Irish women on morality is the equivalent of Joseph Frizle shouting at his daughter for not…,0.0,0.05,Mon May 07 14:56:03 +0000 2018)
RT @shockproofbeats: Both sides of #RepealThe8th debate have been at fault  whether it's the NO side lying about being nurses  slandering m…,0.0,0.0,Mon May 07 14:56:47 +0000 2018)
RT @newsworthy_ie: Fatima Gunning continues to feature in anti-choice videos.

We've seen the poster and we did wonder what you were playin…,0.0,0.0,Mon May 07 14:56:50 +0000 2018)
RT @ChiuauaTeardrop: Yusss! For Repeal this Friday in @TGSDublin. Line up is ridiculously good (see image) &amp; all proceeds go to Together Fo…,0.7,0.6,Mon May 07 14:57:07 +0000 2018)
@DeborahCurran @TarynDeVere Well done Deborah  nicely said! #RepealThe8th,0.75,1.0,Mon May 07 14:57:08 +0000 2018)
RT @RuthCoppingerTD: At 5pm tomorrow (Tues) there will be no more voter registration for #8thref. If not registered you need to visit Garda…,-0.25,0.5,Mon May 07 14:57:28 +0000 2018)
RT @DBNRepeal: When we said MASSIVE canvass  we didn’t expect half of Clontarf would turn out to canvass with us! #Together4Yes #repealthe8…,-0.104166666667,0.583333333333,Mon May 07 14:57:40 +0000 2018)
RT @alanearly: This eve  the #Leitrim priest involved in the #AnnLovett story read from todays Irish Times during his sermon. He read anti…,-0.1125,0.15,Mon May 07 14:57:58 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:58:02 +0000 2018)
WATCH: Saoirse Ronan  Tom Vaughan-Lawlor  Cillian Murphy and more Irish actors lend their support to Together For Y… https://t.co/RvO7yXZDDW,0.25,0.25,Mon May 07 14:58:03 +0000 2018)
One day left to register !! https://t.co/mTbdhfz9Qr,0.0,0.0,Mon May 07 14:58:11 +0000 2018)
RT @JoeHigginsSP: 5pm tomorrow is a deadline  not a target. Don't be the one on the 26th regretting not voting.

Get form stamped today and…,0.0,0.0,Mon May 07 14:58:15 +0000 2018)
RT @MargaretWard1: Feminist historians  recognising the heroic work of Irish women fighting for freedom &amp; equality support #repealthe8th. W…,0.35,0.45,Mon May 07 14:58:18 +0000 2018)
RT @RuthCoppingerTD: At 5pm tomorrow (Tues) there will be no more voter registration for #8thref. If not registered you need to visit Garda…,-0.25,0.5,Mon May 07 14:58:23 +0000 2018)
RT @ceilesmammy: One of the most intelligent things I've heard! https://t.co/Tyw5HfZOlQ,0.75,0.7,Mon May 07 14:58:38 +0000 2018)
RT @TaraFlynn: 5pm tomorrow. GET REGISTERED. Grab an ice-cream or something while you're in town. https://t.co/4NezYM6J4d,0.0,0.0,Mon May 07 14:58:41 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:58:47 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:58:52 +0000 2018)
RT @GTeggart: #Ireland has inflicted indignity and abuse on women for generations  and on a grand scale. Men have complete control of their…,0.3,0.7,Mon May 07 14:59:02 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:59:02 +0000 2018)
RT @PatrickCorrigan: Liam Neeson: “Men owe a debt to women in Ireland. For too long  we have at best stood by &amp; at worst participated in a…,-0.0166666666667,0.566666666667,Mon May 07 14:59:14 +0000 2018)
RT @MickeyVaugn: #RepealThe8th have provided enough material for their very own SJW Cringe Compilation. 
Congrats! This must be a proud day…,0.591666666667,0.833333333333,Mon May 07 14:59:16 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:59:19 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 14:59:26 +0000 2018)
RT @AtheistsFor8th: A #Yes vote in #8thref will mean the child on the left will have no legal protection from abortion (up to 3 months for…,-0.1375,0.295833333333,Mon May 07 14:59:31 +0000 2018)
RT @Irishvegandude: This fantastic article from Justine McCarthy in Today’s Sunday Times - #together4yes #Repealthe8th https://t.co/dwHaUWf…,0.4,0.9,Mon May 07 14:59:37 +0000 2018)
RT @colettebrowne: This woman  in this anti-choice ad  is now appearing in about 90% of the pages I view online - sometimes multiple times…,0.0,0.0,Mon May 07 15:00:00 +0000 2018)
RT @LGBT4LifeIRL: Video: Watch LGBT supporters of #Savethe8th call for #No vote on May 25th.

Let's keep up the march for #equality by reje…,0.0,0.0,Mon May 07 15:00:06 +0000 2018)
RT @NationalPartyIE: Not even 3 weeks to go now before we vote on whether or not to strip the unborn child of all constitutional rights.…,0.0,0.0,Mon May 07 15:00:08 +0000 2018)
RT @pau1clarke: Is women’s health really in trustworthy hands? 17 women are dead due to cover-ups and political incompetence in #cervicalch…,-0.03125,0.26875,Mon May 07 15:00:20 +0000 2018)
@angellilliesmam I don’t blame you Tanya. #RepealThe8th @Together4yes are just out and out badness. You and Lillie both deserve better.,0.1,0.35,Mon May 07 15:00:33 +0000 2018)
@Ciara87C @niallflood123 @PaulFedayn @gravedwxller "Paul my point here is we all need to respect each other’s choic… https://t.co/FuiifUPF9C,-0.125,0.375,Mon May 07 15:00:34 +0000 2018)
RT @RuthCoppingerTD: At 5pm tomorrow (Tues) there will be no more voter registration for #8thref. If not registered you need to visit Garda…,-0.25,0.5,Mon May 07 15:00:35 +0000 2018)
RT @markohalloran: The ICBR Americans are at Trinity today and the police will allow no counter demonstration as they say it will cause a b…,0.0,0.0,Mon May 07 15:00:49 +0000 2018)
RT @ChiuauaTeardrop: Yusss! For Repeal this Friday in @TGSDublin. Line up is ridiculously good (see image) &amp; all proceeds go to Together Fo…,0.7,0.6,Mon May 07 15:00:50 +0000 2018)
RT @DBNRepeal: When we said MASSIVE canvass  we didn’t expect half of Clontarf would turn out to canvass with us! #Together4Yes #repealthe8…,-0.104166666667,0.583333333333,Mon May 07 15:00:53 +0000 2018)
